Date;Release Date;Type
2026-04-29;2026-04-29;Statement
2026-03-18;2026-03-18;Statement
2026-03-18;2026-04-08;Minute
2026-01-28;2026-01-28;Statement
2026-01-28;2026-02-18;Minute
2025-12-10;2025-12-10;Statement
2025-12-10;2025-12-30;Minute
2025-10-29;2025-10-29;Statement
2025-10-29;2025-11-19;Minute
2025-09-17;2025-09-17;Statement
2025-09-17;2025-10-08;Minute
2025-07-30;2025-07-30;Statement
2025-07-30;2025-08-20;Minute
2025-06-18;2025-06-18;Statement
2025-06-18;2025-07-09;Minute
2025-05-07;2025-05-28;Minute
2025-05-07;2025-05-07;Statement
2025-03-19;2025-04-09;Minute
2025-03-19;2025-03-19;Statement
2025-01-29;2025-01-29;Statement
2025-01-29;2025-02-19;Minute
2024-12-18;2024-12-18;Statement
2024-12-18;2025-01-08;Minute
2024-11-07;2024-11-26;Minute
2024-11-07;2024-11-07;Statement
2024-09-18;2024-10-09;Minute
2024-09-18;2024-09-18;Statement
2024-07-31;2024-07-31;Statement
2024-07-31;2024-08-21;Minute
2024-06-12;2024-07-03;Minute
2024-06-12;2024-06-12;Statement
2024-05-01;2024-05-01;Statement
2024-05-01;2024-05-22;Minute
2024-03-20;2024-03-20;Statement
2024-03-20;2024-04-10;Minute
2024-01-31;2024-02-21;Minute
2024-01-31;2024-01-31;Statement
2023-12-13;2023-12-13;Statement
2023-12-13;2024-01-03;Minute
2023-11-01;2023-11-01;Statement
2023-11-01;2023-11-21;Minute
2023-09-20;2023-10-11;Minute
2023-09-20;2023-09-20;Statement
2023-07-26;2023-08-16;Minute
2023-07-26;2023-07-26;Statement
2023-06-14;2023-06-14;Statement
2023-06-14;2023-07-05;Minute
2023-05-03;2023-05-03;Statement
2023-05-03;2023-05-24;Minute
2023-03-22;2023-04-12;Minute
2023-03-22;2023-03-22;Statement
2023-02-01;2023-02-22;Minute
2023-02-01;2023-02-01;Statement
2022-12-14;2023-01-04;Minute
2022-12-14;2022-12-14;Statement
2022-11-02;2022-11-02;Statement
2022-11-02;2022-11-23;Minute
2022-09-21;2022-10-12;Minute
2022-09-21;2022-09-21;Statement
2022-07-27;2022-08-17;Minute
2022-07-27;2022-07-27;Statement
2022-06-15;2022-06-15;Statement
2022-06-15;2022-07-06;Minute
2022-05-04;2022-05-04;Statement
2022-05-04;2022-05-25;Minute
2022-03-16;2022-03-16;Statement
