"","date","vwretd"
"1",2000-01-03,-0.006803
"2",2000-01-04,-0.039652
"3",2000-01-05,-0.000935
"4",2000-01-06,-0.007391
"5",2000-01-07,0.032516
"6",2000-01-10,0.018608
"7",2000-01-11,-0.016941
"8",2000-01-12,-0.006922
"9",2000-01-13,0.016265
"10",2000-01-14,0.011137
"11",2000-01-18,-0.00086
"12",2000-01-19,0.004631
"13",2000-01-20,-0.002801
"14",2000-01-21,0.002655
"15",2000-01-24,-0.025311
"16",2000-01-25,0.005547
"17",2000-01-26,-0.00453
"18",2000-01-27,-0.003521
"19",2000-01-28,-0.028051
"20",2000-01-31,0.014744
"21",2000-02-01,0.0123
"22",2000-02-02,0.003106
"23",2000-02-03,0.015598
"24",2000-02-04,0.001022
"25",2000-02-07,0.003075
"26",2000-02-08,0.012724
"27",2000-02-09,-0.017185
"28",2000-02-10,0.006488
"29",2000-02-11,-0.017335
"30",2000-02-14,0.002672
"31",2000-02-15,0.00737
"32",2000-02-16,-0.00526
"33",2000-02-17,0.005036
"34",2000-02-18,-0.02605
"35",2000-02-22,0.000556
"36",2000-02-23,0.012353
"37",2000-02-24,-0.000378
"38",2000-02-25,-0.009546
"39",2000-02-28,0.007756
"40",2000-02-29,0.019138
"41",2000-03-01,0.014596
"42",2000-03-02,-0.000614
"43",2000-03-03,0.02259
"44",2000-03-06,-0.006612
"45",2000-03-07,-0.021824
"46",2000-03-08,0.006478
"47",2000-03-09,0.023977
"48",2000-03-10,-0.002837
"49",2000-03-13,-0.014556
"50",2000-03-14,-0.022405
"51",2000-03-15,0.006799
"52",2000-03-16,0.041149
"53",2000-03-17,0.006478
"54",2000-03-20,-0.016474
"55",2000-03-21,0.019027
"56",2000-03-22,0.013567
"57",2000-03-23,0.014405
"58",2000-03-24,0.002147
"59",2000-03-27,-0.003358
"60",2000-03-28,-0.013168
"61",2000-03-29,-0.010693
"62",2000-03-30,-0.018181
"63",2000-03-31,0.012111
"64",2000-04-03,-0.017206
"65",2000-04-04,-0.012824
"66",2000-04-05,0.00106
"67",2000-04-06,0.015859
"68",2000-04-07,0.014535
"69",2000-04-10,-0.019337
"70",2000-04-11,-0.010238
"71",2000-04-12,-0.029996
"72",2000-04-13,-0.017135
"73",2000-04-14,-0.066175
"74",2000-04-17,0.029299
"75",2000-04-18,0.038392
"76",2000-04-19,-0.007378
"77",2000-04-20,0.000561
"78",2000-04-24,-0.010579
"79",2000-04-25,0.038638
"80",2000-04-26,-0.011333
"81",2000-04-27,0.007165
"82",2000-04-28,0.000973
"83",2000-05-01,0.015141
"84",2000-05-02,-0.019366
"85",2000-05-03,-0.021067
"86",2000-05-04,0.000882
"87",2000-05-05,0.015485
"88",2000-05-08,-0.01019
"89",2000-05-09,-0.011781
"90",2000-05-10,-0.026778
"91",2000-05-11,0.020429
"92",2000-05-12,0.008521
"93",2000-05-15,0.020691
"94",2000-05-16,0.013807
"95",2000-05-17,-0.013413
"96",2000-05-18,-0.010467
"97",2000-05-19,-0.024081
"98",2000-05-22,-0.007917
"99",2000-05-23,-0.023379
"100",2000-05-24,0.015412
"101",2000-05-25,-0.011616
"102",2000-05-26,-0.001787
"103",2000-05-30,0.037875
"104",2000-05-31,-0.00174
"105",2000-06-01,0.025195
"106",2000-06-02,0.029096
"107",2000-06-05,-0.003705
"108",2000-06-06,-0.007927
"109",2000-06-07,0.011114
"110",2000-06-08,-0.00512
"111",2000-06-09,0.001025
"112",2000-06-12,-0.011024
"113",2000-06-13,0.014502
"114",2000-06-14,-0.000844
"115",2000-06-15,0.00497
"116",2000-06-16,-0.006716
"117",2000-06-19,0.016156
"118",2000-06-20,-0.00243
"119",2000-06-21,0.003636
"120",2000-06-22,-0.018904
"121",2000-06-23,-0.009194
"122",2000-06-26,0.009773
"123",2000-06-27,-0.0053
"124",2000-06-28,0.007521
"125",2000-06-29,-0.006933
"126",2000-06-30,0.0074
"127",2000-07-03,0.010019
"128",2000-07-05,-0.01579
"129",2000-07-06,0.008412
"130",2000-07-07,0.014433
"131",2000-07-10,-0.001199
"132",2000-07-11,0.002003
"133",2000-07-12,0.013264
"134",2000-07-13,0.005768
"135",2000-07-14,0.009675
"136",2000-07-17,0.001402
"137",2000-07-18,-0.012818
"138",2000-07-19,-0.011338
"139",2000-07-20,0.01325
"140",2000-07-21,-0.011642
"141",2000-07-24,-0.013586
"142",2000-07-25,0.005435
"143",2000-07-26,-0.01171
"144",2000-07-27,-0.009848
"145",2000-07-28,-0.023334
