date,siiInSample,siiOutOfSample
1973-01-01,0.6818,NA
1973-02-01,0.8317,NA
1973-03-01,1.0025,NA
1973-04-01,0.8462,NA
1973-05-01,0.9573,NA
1973-06-01,0.8232,NA
1973-07-01,0.8283,NA
1973-08-01,0.5535,NA
1973-09-01,0.5076,NA
1973-10-01,0.4703,NA
1973-11-01,0.3061,NA
1973-12-01,0.4739,NA
1974-01-01,0.4930,NA
1974-02-01,-0.5452,NA
1974-03-01,-0.2353,NA
1974-04-01,-0.2060,NA
1974-05-01,-0.3010,NA
1974-06-01,-0.2547,NA
1974-07-01,-0.6287,NA
1974-08-01,-0.4791,NA
1974-09-01,-0.6057,NA
1974-10-01,-0.9791,NA
1974-11-01,-0.6985,NA
1974-12-01,-0.3819,NA
1975-01-01,-1.1027,NA
1975-02-01,-1.1140,NA
1975-03-01,-1.0038,NA
1975-04-01,-0.9520,NA
1975-05-01,-0.8449,NA
1975-06-01,-1.1225,NA
1975-07-01,-1.1008,NA
1975-08-01,-1.3788,NA
1975-09-01,-0.9904,NA
1975-10-01,-1.1377,NA
1975-11-01,-1.1815,NA
1975-12-01,-0.8612,NA
1976-01-01,-0.8219,NA
1976-02-01,-0.7527,NA
1976-03-01,-0.7163,NA
1976-04-01,-0.8041,NA
1976-05-01,-0.7694,NA
1976-06-01,-0.5673,NA
1976-07-01,-0.7116,NA
1976-08-01,-0.9721,NA
1976-09-01,-1.1033,NA
1976-10-01,-1.5281,NA
1976-11-01,-1.3976,NA
1976-12-01,-1.0706,NA
1977-01-01,-1.2544,NA
1977-02-01,-1.0475,NA
1977-03-01,-0.9047,NA
1977-04-01,-0.9501,NA
1977-05-01,-0.6602,NA
1977-06-01,-0.7291,NA
1977-07-01,-0.9562,NA
1977-08-01,-1.1294,NA
1977-09-01,-1.0865,NA
1977-10-01,-1.0242,NA
1977-11-01,-0.9666,NA
1977-12-01,-0.6912,NA
1978-01-01,-0.8736,-0.1620
1978-02-01,-0.5631,-0.4354
1978-03-01,-0.4995,0.1476
1978-04-01,-0.2517,0.3024
1978-05-01,-0.2028,0.7672
1978-06-01,-0.4914,0.8864
1978-07-01,-0.6822,0.4206
1978-08-01,-0.6590,0.1312
1978-09-01,-0.7691,0.2070
1978-10-01,-0.7328,0.0519
1978-11-01,-0.9216,0.1504
1978-12-01,-0.6661,-0.1438
1979-01-01,-1.2387,0.3359
1979-02-01,-1.1878,-0.6140
1979-03-01,-1.1068,-0.5063
1979-04-01,-1.0879,-0.3396
1979-05-01,-1.2854,-0.2809
1979-06-01,-0.9430,-0.5973
1979-07-01,-1.1024,0.0210
1979-08-01,-0.9963,-0.2437
1979-09-01,-1.1687,-0.0433
1979-10-01,-0.7790,-0.3280
1979-11-01,-1.1131,0.3469
1979-12-01,-0.7684,-0.2246
1980-01-01,-0.8290,0.3888
1980-02-01,-0.5240,0.2749
1980-03-01,-0.7589,0.7905
1980-04-01,-1.1731,0.3731
1980-05-01,-1.2249,-0.3440
1980-06-01,-1.0211,-0.4235
1980-07-01,-0.9570,-0.0704
1980-08-01,-0.7434,0.0374
1980-09-01,-0.6244,0.3920
1980-10-01,-0.4783,0.5892
1980-11-01,-0.5126,0.8252
1980-12-01,-0.1455,0.7459
1981-01-01,-0.8143,1.3663
1981-02-01,-0.9107,0.1978
1981-03-01,-0.8530,0.0340
1981-04-01,-0.7678,0.1388
1981-05-01,-0.8099,0.2865
1981-06-01,-0.8484,0.2141
1981-07-01,-1.0277,0.1551
1981-08-01,-0.9371,-0.1490
1981-09-01,-1.3522,0.0082
1981-10-01,-1.0328,-0.7096
1981-11-01,-0.8252,-0.1660
1981-12-01,-0.5891,0.1799
1982-01-01,-0.8322,0.5783
1982-02-01,-0.8852,0.1414
1982-03-01,-1.0226,0.0440
1982-04-01,-0.5902,-0.1925
1982-05-01,-0.2656,0.5524
1982-06-01,-0.5039,1.1079
1982-07-01,-0.6379,0.6852
1982-08-01,-0.8895,0.4418
1982-09-01,-0.4886,-0.0047
1982-10-01,-0.4021,0.6783
1982-11-01,-0.2588,0.8111
1982-12-01,-0.1935,1.0408
1983-01-01,-0.5784,1.1404
1983-02-01,-0.6745,0.4595
1983-03-01,-0.3984,0.2948
1983-04-01,-0.3927,0.7742
1983-05-01,-0.1009,0.7883
1983-06-01,0.0116,1.2952
1983-07-01,-0.1242,1.4770
1983-08-01,-0.3884,1.2235
1983-09-01,-0.3383,0.7541
1983-10-01,-0.3472,0.8291
1983-11-01,-0.2854,0.8024
1983-12-01,-0.0684,0.8918
1984-01-01,-0.2475,1.2535
1984-02-01,-0.1710,0.9116
1984-03-01,-0.5003,1.0157
1984-04-01,-0.3253,0.4227
1984-05-01,-0.5733,0.7062
1984-06-01,-0.6982,0.2523
1984-07-01,-0.8710,0.0270
1984-08-01,-0.8153,-0.2817
1984-09-01,-0.5476,-0.1895
1984-10-01,-0.4859,0.2600
1984-11-01,-0.3715,0.3593
1984-12-01,0.0709,0.5376
1985-01-01,-0.5174,1.2860
1985-02-01,0.0542,0.2491
1985-03-01,0.1357,1.2308
1985-04-01,-0.1956,1.3472
1985-05-01,-0.1959,0.7399
1985-06-01,-0.0976,0.7095
1985-07-01,-0.0753,0.8543
1985-08-01,-0.0626,0.8676
1985-09-01,-0.1250,0.8700
1985-10-01,-0.2322,0.7464
1985-11-01,-0.2302,0.5520
1985-12-01,-0.2089,0.5473
1986-01-01,-0.4593,0.5863
1986-02-01,-0.1914,0.1386
1986-03-01,0.1475,0.5855
1986-04-01,0.0533,1.1484
1986-05-01,0.0835,0.9599
1986-06-01,0.1498,0.9868
1986-07-01,0.5033,1.0736
1986-08-01,0.2532,1.6465
1986-09-01,0.2909,1.1749
1986-10-01,0.3712,1.1930
1986-11-01,0.5549,1.2924
1986-12-01,0.5126,1.5731
1987-01-01,0.2467,1.4671
1987-02-01,0.4470,0.9712
1987-03-01,0.5131,1.2823
1987-04-01,0.5779,1.3531
